Balbilla-verb-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=indicative,,,,,,
δώσει,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,PRED_CO
δέκετ’,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,ADV
φιλήσει,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,PRED_CO
φίλει,"καὶ γὰρ αἰ φεύγει , ταχέως διώξει , αἰ δὲ δῶρα μὴ δέκετ’ , ἀλλὰ δώσει , αἰ δὲ μὴ φίλει , ταχέως φιλήσει κα- κωὐκ ἐθέλοισα .",Sappho,7,"7bc
 6bc",singular,ADV
ἰμέρρει,"ἔλθε μοι καὶ νῦν , χαλέπαν δὲ λῦσον ἐκ μερίμναν , ὄσσα δέ μοι τέλεσσαι θῦμος ἰμέρρει , τέλεσον , σὺ δ’ αὔτα σύμμαχος ἔσσο .",Sappho,8,"7bc
 6bc",singular,OBJ
ἔνι,"E E Gρανοθεν κατιουσδευρύ μ’ ἐκ Κρήτας ἐπὶ τόνδε ναῦον ἄγνον ὄππαι τοι χάριεν μὲν ἄλσος μαλίαν , βῶμοι δ’ ἔνι θυμιάμενοι λιβανώτωι ·",Sappho,9,"7bc
 6bc",plural,ATR_CO
κελάδει,"ἐν δ’ ὔδωρ ψῦχρον κελάδει δι’ ὔσδων μαλίνων , βρόδοισι δὲ παῖς ὀ χῶρος ἐσκίαστ’ , αἰθυσσομένων δὲ φύλλων κῶμα καταίρει ·",Sappho,10,"7bc
 6bc",singular,PRED_CO
ἐσκίαστ’,"ἐν δ’ ὔδωρ ψῦχρον κελάδει δι’ ὔσδων μαλίνων , βρόδοισι δὲ παῖς ὀ χῶρος ἐσκίαστ’ , αἰθυσσομένων δὲ φύλλων κῶμα καταίρει ·",Sappho,10,"7bc
 6bc",singular,PRED_CO
καταίρει,"ἐν δ’ ὔδωρ ψῦχρον κελάδει δι’ ὔσδων μαλίνων , βρόδοισι δὲ παῖς ὀ χῶρος ἐσκίαστ’ , αἰθυσσομένων δὲ φύλλων κῶμα καταίρει ·",Sappho,10,"7bc
 6bc",singular,PRED_CO
τέθαλε,"ἐν δὲ λείμων ἰππόβοτος τέθαλε ἠρίνοισιν ἄνθεσιν , αἰ δ’ ἄηται μέλλιχα πνέοισιν ⏑–⏑–⏑x –⏑⏑–x .",Sappho,11,"7bc
 6bc",singular,PRED_CO
πνέοισιν,"ἐν δὲ λείμων ἰππόβοτος τέθαλε ἠρίνοισιν ἄνθεσιν , αἰ δ’ ἄηται μέλλιχα πνέοισιν ⏑–⏑–⏑x –⏑⏑–x .",Sappho,11,"7bc
 6bc",plural,PRED_CO
διάκηται,"τὸ γὰρ GG? G?μον οὐκ οὔτω μG? G? διάκηται , G?μηδG?Gαζε , G? G?χις , συνίημG? G?Gης κακότατος G?μεν G?ν ἀτέραις μεG? G?η φρένας , εὔG? G?ατοις μακαG? G? G?αG?",Sappho,15,"7bc
 6bc",singular,PRED
δύναμαι,"G?θε θῦμον G?μι πάμπαν δύναμαι , ἃς κεν ἦι μοι G?σαντιλάμπην G?λον πρόσωπον .",Sappho,16,"7bc
 6bc",singular,PRED_CO
ἄμβροτε,"Κύπρι καὶ Νηρήιδες ἀβλάβην μοι τὸν κασίγνητον δότε τυίδ’ ἴκεσθαι κα- κὤσσα ϝοι θύμωι κε θέληι γένεσθαι πάντα τελέσθην , ὄσσα δὲ πρόσθ’ ἄμβροτε πάντα λῦσαι καὶ φίλοισι ϝοῖσι χάραν γένεσθαι νῦν πόνον τ’ ἔχθροισι , γένοιτο δ’ ἄμμι μήκετι μη -δ’ εἴς ·",Sappho,18,"7bc
 6bc",singular,ATR
